gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
CSF3R	-0.22484535426183866	-0.24574338187412087	0.10891713982242714	-0.3213477657014339	-0.335231538102856	-0.40963253717692744	4.118925028446107	0.6942852668220882	-0.263401093450891	-0.3056178941558136	-0.25232152139289454	-0.27115042025619823	-0.2722355011917042	-0.38260509486557687	-0.2748169193335594	-0.12473124741604302	-0.11441289193975784	-0.364881674863716	-0.3904285132231949	-0.3687240858840948
CSF1R	-0.5050409273380523	-0.28682740287943637	0.3257350568820365	-0.3700048060697386	-0.3406285584713357	-0.39475067288463844	4.109524444321527	0.09444053817008434	-0.5061904447662645	0.2886364336456768	-0.3717112643287046	-0.397891865945482	0.1492761896233605	-0.2850294556475185	-0.2112547638126366	-0.15902547260337643	0.010861848397814495	-0.37808618808764016	-0.37775348755579286	-0.39427920064988214
C1QA	-0.20221953016922634	-0.10096549918933187	0.05669402624792563	-0.2664104786125644	-0.6634511086477185	-0.5567536795222106	4.090153325315979	0.5074116973046339	-0.2104132510288777	-0.3030782035035169	-0.26170720731324465	-0.48296493392439516	0.13951054305097346	-0.017893842767391532	-0.03086586529003119	-0.3171306904824382	-0.11708735550533521	-0.4323671390472147	-0.5438662007666899	-0.2865946061493239
C1QC	-0.4346437754575813	-0.06748403220612612	0.2647720528462752	-0.2033282442807617	-0.5062234297861583	-0.34434338291868066	4.070643140382669	0.010592405335275595	-0.6119779467920667	-0.07237675752987383	-0.18987798956898644	-0.7812490923306953	-0.5422310763317773	-0.46542031979299453	0.15964482701301516	-0.05309090717918719	0.19325804203430455	-0.13066156179711952	-0.35618017518839906	0.060178223548868086
LYVE1	-0.6812513553957636	-0.3482629454563674	0.030150033450541	0.4901565557286168	-0.07988958458081152	1.4400857422070819	3.660835836827839	-0.016228281753634714	-0.5793996650104908	-0.10502411302927087	-0.682731175620102	-0.8090404947197525	-0.11149539601047416	-0.8351108104517708	-0.46440765618396684	-0.38570750169335455	-0.31753453693808786	-0.08339020393554765	-0.19193585859281045	0.07018141115812597
ALAS2	-0.33482683016184817	-0.1227749035431104	-0.23170756432208373	-0.38527731523319847	-0.5678503554935664	-0.2511652251025293	3.517914249568265	1.2673886290806085	0.7459399807573521	-0.6050626859556902	0.1734615376955667	-0.27750322641275826	-0.3506023521712738	0.9409362014559244	-0.540911749962791	-0.7686915987868648	-0.20435976668456246	-0.6683214870869177	-0.6601920766354968	-0.6763934610050254
CD4	-0.3379133960483588	-0.2200547525239624	-0.020768584723140353	-0.6068569567387304	-0.7755145663571686	-0.9159769512600849	2.929948322821336	0.6595649916672095	-0.6115159021393386	-0.708019396437829	1.1018147868415613	-0.21490684385647224	-0.2333090414606639	-0.1262326659960799	1.5324875338268118	0.2009867490356908	1.0172517343265126	-0.8976983421135062	-0.8644823094467717	-0.9088044094170135
ICAM1	-0.920583928416049	-0.43621678146626036	0.6327542309904964	1.7162757618627182	-0.5074054958611437	-0.5411922152398846	2.309858551736736	0.6459922583365109	0.28954938255163504	1.9888909079696366	-0.5434252953979296	-1.0360593818039454	-0.3521611952201377	-0.015379566604762192	0.060398662203937324	-0.32630233891434457	-0.15488780080822276	-0.8416538757055025	-0.964812687000542	-1.0036391932129456
GYPA	-0.6204570034928741	0.22005445109523777	1.0013610051113606	-0.517139347300242	-0.43766274761744073	-0.8252148266534564	2.0854060493469047	2.0629910704739207	-0.8252148266534564	-0.5597252620503043	-0.2010281193281093	-0.21799167068316272	-0.8252148266534564	-0.8252148266534564	0.310406113505071	0.039743780578497756	2.0216650361447446	-0.6435386997628202	-0.5835198090738691	-0.6597055403330898
S100A8	-0.09266487208310857	0.1108528548687725	-0.2807718343873252	-0.3821465168997775	-0.5119225936659465	-0.5119225936659465	0.6462212156405339	4.018379301988988	0.4023631282104397	-0.4314554151551574	0.02369413119888432	-0.07900539088689423	0.05902186454755204	-0.2897927319119755	-0.5119225936659465	-0.5119225936659465	-0.48420883945285537	-0.397500340545441	-0.441032087772759	-0.33426409269608975
