gene	Adipo	Bcell	CLC	Endo	Eryth	Fib	LEC	Myeloid	Plasma	PSC	Tcell	unknown_5	ZF	ZG	ZR
CD8A	-0.3395691061185626	-0.12401294072070944	0.7284619415951169	-0.5330348612728404	0.14150411677910232	-0.44284329334477346	-0.6026979758390868	-0.3875544754104946	-0.34931031732376927	-0.6689892411981949	2.7337301202861792	1.7517732743443868	-0.6253445948252773	-0.6262717015021264	-0.65584094544895
CD3G	-0.3476583331580305	-0.07975652510958632	0.2590437303654148	-0.49812896552584474	-0.1706053255449539	-0.4095221935268416	-0.604452729231801	-0.37730048854529014	-0.2540124477879348	-0.5699505422290649	2.6001309438082867	2.171902845693578	-0.5699892061833607	-0.5754148318149988	-0.574285931209572
TRBC2	-0.25648275840919077	0.2911265996317428	0.12296877190993957	-0.5687045895235315	0.007652261306287982	-0.4341779508796978	-0.6679407172901445	-0.375398804747974	-0.2482538859123987	-0.6322109200816064	2.5741828823467334	2.1032273786734335	-0.639449088974101	-0.6505724873640116	-0.6259666906854808
CD3E	-0.26527268084910643	-0.0761882692015122	0.10185117375582535	-0.5242374133234394	0.08867612390630324	-0.450975323489989	-0.58988956936711745	-0.36600468068237785	-0.3395257405520652	-0.5796983612416626	2.5120263480862266	2.2654245373358446	-0.5881870014270586	-0.5998451164120064	-0.5881540265378645
TRBC1	-0.34845399973549407	-0.23811349236362347	0.05977985835534228	-0.569327219887252	0.43038148195500747	-0.44473661769764655	-0.5144656604869139	-0.4423378309107602	-0.16889247841217608	-0.614779322580936	2.446319354627382	2.260728519961106	-0.6262172174434855	-0.6309266829623386	-0.5989586924182108
CD3D	-0.43588140225982464	-0.14474557304521993	-0.02546351453052255	-0.5386415767478969	0.14371274166112988	-0.40864825958284173	-0.5844795924468208	-0.4074440548990021	-0.1489611100573203	-0.5612440267282977	2.4122039472174293	2.3870262573155365	-0.561960370306232	-0.567633407055594	-0.5578400585345229
S100A4	-0.5260390246730013	0.4713188468434182	0.07731360013710407	-0.7645220814640172	0.9470921900759545	-0.39133330173990766	-0.5932319083735458	0.18244602483306285	-0.22000981513756068	-0.7845992517852155	1.2818527676681488	2.6982713265884875	-0.8261892178992375	-0.7747855786943103	-0.7775845763793803
HSD3B2	-0.7914535241052069	-0.7928326507112422	-0.5271625666345039	0.118704692464477	-0.7759024936403441	-0.33594302255860087	0.41085577159730247	-0.25069619309115126	-0.7612473507310757	0.22822252769162935	-0.708848906574341	-0.7021920135235091	2.7538672536419386	0.9744018399171372	1.1602266362574898
CYP21A2	-0.8070923551576671	-0.8174837421551844	-0.5829306518320686	0.05161619775430027	-0.7499780128964019	-0.3336197331312961	0.232111143378647	-0.2652453950008817	-0.7329776853050926	0.168928254177174	-0.7122527772416257	-0.7462014772811864	2.2554697023926957	1.201208716336386	1.8384478159622017
NR5A1	-0.6764293252533021	-0.6718637063108238	-0.47817766214501445	-0.15952951320696626	-0.6875692106225709	-0.47335438988215656	-0.15430082190366473	-0.33008012824752747	-0.614453995346962	-0.13683802614462637	-0.6247628658221078	-0.6183804506079538	2.1346815128424326	1.4391390170216265	2.0519195656296167
STRIP1	-0.9764313760553984	1.709572181253592	-1.0151972320052935	-0.3615936269486021	-0.6962922448822433	-0.11834555247536166	-0.30576756906330976	-0.10705904048243292	-0.9653712581511772	-0.014124228627079361	0.662973870196706	-1.3435029948366173	1.978271376190687	0.9537088625208383	0.5991588333656954
